ID,Location_city,category,guests,highlights,lat,location,long,pets_allowed,Price_usd,price_category,ratings,reviews,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,Earliest_Check-in_time,Checkout_time,Guest_Maximum,House_type,Bedroom_count,Bathroom_count,Room Type,Bed,Bathroom
868,"Salt Lake City, Utah, United States",Stays,3,"[{""name"":""Self check-in"",""value"":""Check yourself in with the keypad.""},{""name"":""Yaroch is a Superhost"",""value"":""Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests.""},{""name"":""Great location"",""value"":""95% of recent guests gave the location a 5-star rating.""}]",40.7636,"Salt Lake City, Utah, United States",-111.8676,1,33,Under USD$100,4.63,"[""The place was well kept and host was responsive. It is a very nice home. <br/>The parking is street side, and was slightly difficult because of the snow. <br/>I had made a mistake in booking the room for wrong dates and had immediately requested a change, but that was denied. <br/>Apart from that one hiccup, everything was good - clear instructions, great house and responsive host"",""Great price for the room"",""No surprises, and good value."",""loved this Airbnb"",""Quiet and accurate, convenient and clean location."",""Great location - clean and quiet."",""My wife and I had a lovely time, great beds super comfy! Eill definitely stay again""]",4.5,4.8,4.8,4.8,4.9,4.7,3:00:00 PM,11:00:00 AM,3,Private room,1,2,1 bedroom,1 bed,2 shared bathrooms
844,"Salt Lake City, Utah, United States",Stays,1,"[{""name"":""Great for remote work"",""value"":""Fast wifi at 231 Mbps, plus a dedicated workspace in a private room.""}]",40.77274187,"Salt Lake City, Utah, United States",-111.8750832,1,34,Under USD$100,5,"[""This was a perfect little stay for my overnight layover in Salt Lake City! Located in a cute walkable neighborhood with lots of shops and public transport only a few minutes away. The space was comfortable and clean, and the kitchen was adorable! Having a private entrance was very useful too. Shared bathrooms were clean and well stocked, had no issues with privacy or clashing use-times. Owner’s dog is also the sweetest!""]",,,,,,,2:00:00 PM,11:00:00 AM,1,Private room,1,1.5,1 bedroom,1 bed,1.5 shared bathrooms
152,"Salt Lake City, Utah, United States",Stays,2,"[{""name"":""Dedicated workspace"",""value"":""A private room with wifi that’s well-suited for working.""},{""name"":""Self check-in"",""value"":""Check yourself in with the keypad.""},{""name"":""Yaroch is a Superhost"",""value"":""Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests.""}]",40.76394,"Salt Lake City, Utah, United States",-111.86924,1,35,Under USD$100,4.7,"[""Great location. Smooth check in. It’s a shared space with private room. Comfortable bed. The water pressure had issues every now and then but otherwise everything was fine. Street parking can get sometimes tricky"",""loved it"",""Clean, secure, & quiet. Great location."",""Great house and location!"",""Very easy check-in process, extensive explanation of rules which lead to very clean and respectfull house. Location is also great - I have nothing to complain about."",""Convenient and easy access."",""All good""]",4.6,4.7,4.8,4.8,4.8,4.7,3:00:00 PM,,2,Private room,1,2,1 bedroom,1 bed,2 shared bathrooms
251,"Salt Lake City, Utah, United States",Stays,2,"[{""name"":""Dedicated workspace"",""value"":""A common area with wifi that’s well-suited for working.""},{""name"":""Self check-in"",""value"":""Check yourself in with the lockbox.""},{""name"":""John is a Superhost"",""value"":""Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests.""}]",40.71044,"Salt Lake City, Utah, United States",-111.82166,,35,Under USD$100,4.67,"[""John and his family were great hosts! Would recommend to all of my family and friends. You simply can’t find a place like this in the same price range!"",""Thank you"",""As described!"",""Good stay awesome host John is amazing"",""My stay was great John took care of everything and he is very hospitable."",""Perfect stay at John place. <br/><br/>Fridge and oven are appreciable too."",""Cool house. Very spacious. Beautiful view . Nice neighborhood .""]",4.8,4.5,5,4.9,4.8,4.8,3:00:00 PM,11:00:00 AM,2,Private room,1,1.5,1 bedroom,1 bed,1.5 shared bathrooms
290,"Salt Lake City, Utah, United States",Stays,2,,40.7895,"Salt Lake City, Utah, United States",-111.94724,,35,Under USD$100,4.42,"[""Great place! Bathroom a little dirty but understandable as other guests also use it since it’s shared. Great for one or two nights!"",""Three Airbnb rooms in basement   The good: comfortable enough bed for one person but noticeable lean on one side would have made sleeping two less optimal.  Easy to get to from airport.  The bad:. super thin pillows, no fan, large gap under door let in light and sound from another Airbnb tenant who cooked food after midnight. Mildew in shower."",""The sheets, utensils and kitchen was not clean. It was really cold during the night. I would recommend asking for a heater prior to your trip, especially when it’s cold outside. Although there are 3 airbnb rooms in the basement,  it was quite quiet and had a good sleep. Great location for travelers who wants to just stay for a night. You basically get what you pay so be prepared"",""Very Nice room with Great t.v. Selection Very Private Great Amenities .. The host is Amazing always Responds Fast"",""Good Stay. Host were very communicative, and accommodating."",""Decent room for the price. If you’re very tall (> 6’5”) you’d have to crouch a bit"",""Easy check in with clear instructions! And for that price, it’s a steal! 5/5""]",4.2,4.7,4.8,4.8,4.8,4.7,6:00:00 PM,2:00:00 PM,2,Private room,1,1,1 bedroom,1 bed,1 shared bathroom
378,"Salt Lake City, Utah, United States",Stays,1,"[{""name"":""Regina is a Superhost"",""value"":""Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests.""}]",40.72617,"Salt Lake City, Utah, United States",,,35,Under USD$100,4.82,"[""Regina is a true super host. Very helpful and makes you feel at home. Location is great very close to bus stop grocery store and Walgreens and other fast food joints. Will stay here again without doubt. Thanks for everything again"",""I loved staying at Regina’s place! It’s very clean and in a very safe neighborhood. I felt very comfortable staying here and would love to come again!"",""I stayed with Regina once before and I liked it enough to return. She provides a homey atmosphere, which is more like staying with a friend than staying in an airbnb. As a bonus there's a well behaved, friendly little dog. There are some good hikes within walking distance of the house for people who want to get out and get some exercise. <br/><br/>The location is close to a supermarket and a Walmart, so it's easy to get groceries, even without a vehicle, and the kitchen has all the equipment needed to prepare a meal. <br/><br/>Regina is currently working from home and she starts early, so if you're a light sleeper and you like to sleep in, you might want to bring some earplugs."",""Easy keypad entry, Regina was awesome host, and responded quickly to inquiries. Comfy space and an espresso machine! My room had extra blankets, a fan/heater, a place to sit and work on my laptop and hangers & storage rack in the closet; The kitchen has everything you need to cook & the living room couch is comfy to just hangout. I will definitely be back!"",""Great place and location! Regina was very kind and a wonderful host."",""Regina was so kind and lovely! I really enjoyed staying with her and Maverick. She really goes above and beyond to make you feel welcome."",""This is the perfect place to stay in SLC. The host made me feel like family! Very generous host, great location, sweet puppy dog, great co-renters, nice neighborhood near highways and university. I won’t stay anywhere else in SLC!""]",4.9,4.9,4.9,5,5,4.9,,12:00:00 PM,1,Private room,1,1,1 bedroom,1 bed,1 shared bathroom
452,"Salt Lake City, Utah, United States",Stays,2,"[{""name"":""Great check-in experience"",""value"":""90% of recent guests gave the check-in process a 5-star rating.""}]",40.79171,"Salt Lake City, Utah, United States",,1,35,Under USD$100,4.51,"[""Clean, close to the airport, and very nice homely touches. Maria was so sweet and very accommodating. She provided everything we could need even though it was a short stay. She was so thoughtful to make sure we were provided with food, beverages, and reading material. Would stay again!!"",""Nice people,nice place"",""Maria had great communication and understanding when my flights were delayed and then completely changed. I unfortunately could not get a refund do to Airbnb policy when my flight was changed to the following day but Maria, out of her kindness, offered me back what she could which I am very appreciative of. Thank you so much Maria and I will choose your Airbnb again in the future."",""This is such a welcoming host family & in a great location."",""Great hospitality and perfect for low budget trips! Will definitely come again when visiting Utah again!"",""check it out"",""Great place,good people""]",4.4,4.6,4.7,4.7,4.8,4.6,4:00:00 PM,11:00:00 AM,2,Private room,2,1,1 bedroom,2 beds,1 bathroom
500,"Salt Lake City, Utah, United States",Stays,1,"[{""name"":""Self check-in"",""value"":""Check yourself in with the lockbox.""},{""name"":""Great location"",""value"":""100% of recent guests gave the location a 5-star rating.""},{""name"":""Great check-in experience"",""value"":""100% of recent guests gave the check-in process a 5-star rating.""}]",40.75138,"Salt Lake City, Utah, United States",-111.89743,1,35,Under USD$100,4.36,"[""Adam is super friendly and accommodating. The space is clean and comfortable. 10/10 would recommend!"",""Bad stay. Very bad. House is old, cold, cluttered and STINKY! Space heater put out almost no heat. I feel deceived because I had no idea the place was so run down and smelly. There’s a dog (not mentioned in then listing) and an old carpet. It’s a fixer upper that hasn’t been fixed up yet, and the host is seeking five star reviews. As I informed him privately, it’s not even a one star place. I suspect the city would not allow him to even be in business if they inspected the place. The only reason I haven’t demanded my money back is that I DID stay the night. I should have walked out the minute I walked in, but it was late and I didn’t know what the alternatives might be, so I decided to tough it out. Threw on two pairs of sweatpants, three T-shirts and a winter jacket and got a few hours sleep. Good location and price but it’s not worth the sacrifice. I would pay double elsewhere before I’d stay there again."",""For a one night stay this place offered me everything I needed, in short, five stars"",""Good location, nice spacious room, excellent and accommodating host.<br/>Many excellent food and coffee places nearby too.<br/>Thanks, Adam!"",""Very nice room, spacious, with a desk which was useful for me, and great value. The street is great too, and in a strategic location in the city. You can get to places food walking a few minutes from the house. Adam was very responsive too, so I would come back if I need to stay in SLC again!"",""Adam was a great host, always responsive when I needed something. The room had all the essentials plus a few nice extras (coffee maker, candy). Overall had a great stay."",""I was driving through and got in late and had to leave early, and this worked really well to have a bed for the night. Adam was very accommodating and cut me a break on the cleaning fee as well as had great communication with me even though I was booking at 6pm for that night at 9:30pm. Adam added a few extra items you may need (coffee, water, tampons, razors, face mask, etc.), which was a nice touch. There was some marijuana drawings on the chalk board in the bathroom, which was interesting. I noticed an odd smell that I couldn’t figure out, but I was so tired it didn’t<br/>matter. Hopefully you don’t mind an older, creaky home, that is still being worked on, shared with other people. I didn’t, and it was fine!""]",4,4.5,4.9,4.8,4.8,4.3,3:00:00 PM,12:00:00 PM,1,Private room,1,1,1 bedroom,1 bed,1 shared bathroom
748,"Salt Lake City, Utah, United States",Stays,2,,40.79083,"Salt Lake City, Utah, United States",-111.94715,,35,Under USD$100,4.2,"[""Other reviews are accurate, this is a just a bed and go the next day kind of place. Host was understanding when I got the checkout time wrong.(Even though I had left at 4 am the day of checkout, I dropped off the keys at a later time to be sure they receive them)."",""Khan's place was clean and comfortable!  I highly recommend!"",""Decent place to crash for night; not huge on facilities or aesthetics."",""Great location. The bathroom was not that clean. They let me check in 1 hour earlier which I’m super grateful."",""3.5, the -1.5 solely comes from the fact that it’s not very clean."",""Could use enhancements & cleanliness was a major issue. I had to ask for the heat to be turned on & with several other rooms in the basement being rented, a portable heater would be handy. My by far worse experience was the communal shower which was something close to what I would imagine a truck stop would be like. My towel smelled like urine which is a serious health threat. I immediately had to wash my face after placing that towel on it & air dried at that point. It took me a while to get over the disgust of that experience to feel like I could finally go to sleep. The smell in the room definitely smells like there are no consistently washed linens but I didn’t see hairs or stains. If I wasn’t so tired from my trip as a flight attendant, I would have gone back to the airport & stayed in a chair for the night. I truly would have wanted my money back and spent it elsewhere. Initial photo presented cleanliness & that it was not."",""you will Never be disappointed when you Book with Khanh .. The home is in a Great Location near Grocery Stores & Restaurants . The home has everything you can ask for , It's super Clean , very quite and peaceful ! Everything I need when not at work on the road . Khanh Is an amazing host who responds quickly to any issues or questions you may have . I definitely will book again and again .""]",3.9,4.6,4.8,4.7,4.7,4.5,6:00:00 PM,2:00:00 PM,2,Private room,1,1,1 bedroom,1 bed,1 shared bathroom
769,"Salt Lake City, Utah, United States",Stays,1,,40.76735,"Salt Lake City, Utah, United States",-111.86672,,35,Under USD$100,4.8,"[""Th space is immaculate, inviting, beautifully decorated and conveniently located. Suzy is such a warm, amazing soul and thoughtful host. I cannot recommend this space and Suzy highly enough."",""Suzy is great and lovely and it's a super cute part of salt lake perfectly placed."",""Nice and cosy house Very clean <br/>Suzy is a nice host and does everything possible to make you feel confortable"",""Suzy's home is beautiful, clean, and peaceful. The house is nearby the U and downtown (about 1mi walk in either direction) as well as great restaurants and coffee shops. Check-in and communication were quick and easy and the cat and dog were great company!! Suzy was very welcoming and accommodating and I had access to everything I needed in the house. I would definitely stay here again if I found myself back in Salt Lake."",""So good location. Just 7 mins to TRAX station. It takes only about 15 min to City Center. Suzy is so so so nice. Dog little bear  and cat both r nice also. The house and room are so clean and comfortable. I want to stay again next time when I go to SLC.""]",5,5,5,5,5,5,1:00:00 PM,11:00:00 AM,1,Private room,1,1,1 bedroom,1 bed,1 shared bathroom
475,"Salt Lake City, Utah, United States",Stays,2,"[{""name"":""Self check-in"",""value"":""Check yourself in with the keypad.""},{""name"":""Yaroch is a Superhost"",""value"":""Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests.""}]",40.75947,"Salt Lake City, Utah, United States",-111.86543,1,36,Under USD$100,4.52,"[""Great location, super clean, and an amazing host."",""real legit spot"",""Great place"",""Really cozy place with a cute cat! Yaroch is also a nice person who can speak multiple languages, which surprised me."",""The place was conveneint for me to go to school while waiting to move in  my own place. However I was bit uncomfortable with the number of people also airbnb at this place. I guess it's because I stayed for 2 weeks not a short weekend. Overall experience is good. <br/>And Their cat is very friendly as well and doesn't bother you if you're not into cat."",""Had a great stay! The location is perfect and super close to downtown. Yaroch communicated all instructions and expectations really well."",""If you are visiting SLC definitely stay here! <br/>I stayed for 3 weeks! <br/>Great location & Yaroch is an amazing host. I really appreciate how he made sure the environment was safe, clean, and comfortable for all guests. Very good communication and mutual respect. One of the best places I have stayed at so far :) <br/>Thank you for having me and Bindi!""]",4.5,4.7,4.8,4.8,4.8,4.6,3:00:00 PM,11:00:00 AM,2,Private room,1,2,1 bedroom,1 bed,2 shared bathrooms
528,"Salt Lake City, Utah, United States",Stays,2,"[{""name"":""Great for remote work"",""value"":""Fast wifi at 254 Mbps, plus a dedicated workspace in a private room.""}]",40.763185,"Salt Lake City, Utah, United States",-111.9200617,,36,Under USD$100,5,"[""I’ve already booked another stay. ♥️"",""This is definitely a 5 stars, Jo is so helpful and the place is really nice and cozy and you can access to everywhere you want to."",""I have been using Airbnb for many years, and I have to say honestly, that this has been the best experience with this system. Joel has been incredibly helpful and is an incredible host. I recommend this place wholeheartedly!""]",5,5,5,5,5,5,3:00:00 PM,12:00:00 PM,2,Private room,1,1,1 bedroom,1 bed,1 bathroom
579,"Salt Lake City, Utah, United States",Stays,2,"[{""name"":""Self check-in"",""value"":""Check yourself in with the keypad.""},{""name"":""Zac is a Superhost"",""value"":""Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests.""},{""name"":""Great location"",""value"":""95% of recent guests gave the location a 5-star rating.""}]",40.72541,"Salt Lake City, Utah, United States",-111.83833,,36,Under USD$100,4.77,"[""Zac was very kind and responsive as well. I appreciated the security of his Airbnb also."",""Prompt, helpful and nice cozy place!"",""Private comfortable stay. No problems and cozy spot."",""Awesome place to stay for an affordable price"",""Great spot with super friendly hosts! No real restaurants within a mile, but very nice to have off street parking."",""This place is so nicely renovated! They have every detail thought out and it is in a great location in salt lake! I would definitely stay here again! The hosts are so helpful, warm and inviting!"",""Cute little apartment served me exactly how I needed""]",4.8,4.8,4.8,4.8,4.9,4.8,3:00:00 PM,11:00:00 AM,2,Private room,1,1,1 bedroom,1 bed,1 shared bathroom
669,"Salt Lake City, Utah, United States",Stays,2,"[{""name"":""Dedicated workspace"",""value"":""A common area with wifi that’s well-suited for working.""},{""name"":""Self check-in"",""value"":""Check yourself in with the lockbox.""},{""name"":""Highly rated Host"",""value"":""Adam has received 5-star ratings from 95% of recent guests.""}]",40.75035,"Salt Lake City, Utah, United States",-111.89856,1,36,Under USD$100,4.63,"[""First the good: Adam is very responsive, friendly, and communicative. <br/>The bad: the place was very dirty, with lots of clutter, trash overflowing, a strong urine odor, and food crumbs in the bedsheets. <br/><br/>After we explained why we are not comfortable sleeping there he willingly offered us a refund with no drama."",""Great host all around. 5star I recommend<br/>To stay there you will never regret"",""Place wasn’t bad. Had a few things that could have been cleaner and better kept. Host was good at communicating."",""Adam is a very nice and helpful host. He responds very quickly to requests and we enjoyed being his guests."",""Quaint and rustic place, great location and fair pricing. Small hiccup with checkin, but Adam was fast to get us the keys."",""Great place to stay while in town visiting my brother! I booked last minute and Adam was easily able to accept my booking. Bed was comfy and my dog and I were grateful to be welcomed. Thanks again!"",""Well located, easy access""]",4.3,4.8,4.9,4.9,4.8,4.7,3:00:00 PM,12:00:00 PM,2,Private room,1,1,1 bedroom,1 bed,1 shared bathroom
681,"Salt Lake City, Utah, United States",Stays,2,,40.65286,"Salt Lake City, Utah, United States",-111.97198,,36,Under USD$100,5,"[""it was greatest Airbnb I've ever stayed at I would definitely stay again the host is super nice the place is beautiful I would recommend it to everyone.""]",,,,,,,3:00:00 PM,10:00:00 AM,2,Private room,1,2,1 bedroom,1 bed,2 shared bathrooms
